company_name,domain_name,stars,reviews,full_address,details_adress,position,hours,marcket_site,web_site,email,phone_number
Vito's Pizza,Pizza restaurant,4.3 stars ,692 reviews,"2455 Santa Monica Blvd, Santa Monica, CA 90404, United States",,"2GMF+3Q Santa Monica, California, USA",,,http://www.vitossm.com/,,+1 3108845900
Santa Monica Pizza Kitchen,Pizza restaurant,4.4 stars ,359 reviews,"1318 Wilshire Blvd, Santa Monica, CA 90403, United States",,"2GG6+G8 Santa Monica, California, USA",,,http://www.santamonicapizzakitchen.com/,,+1 3103934554
Pizza Buona,Italian restaurant,4.5 stars ,371 reviews,"922 N Alvarado St C, Los Angeles, CA 90026, United States",,"3PGP+C7 Los Angeles, California, USA",,,http://www.pizzabuonala.com/,,+1 2134130800
Pizza Show,Pizza restaurant,4.3 stars ,948 reviews,"13344 Hawthorne Blvd, Hawthorne, CA 90250, United States",,"WJ6X+C4 Hawthorne, California, USA",,,https://pizza-show.com/?utm_source=google,,+1 3109739066
Prime Pizza,Pizza restaurant,4.3 stars ,250 reviews,"150 Pacific Coast Hwy Unit A, El Segundo, CA 90245, United States",Located in: Project One-Fifty,"WJ73+XQ El Segundo, California, USA",,,https://primepizza.la/,,+1 4244440410
Numero Uno Pizza (Mid-Wilshire),Pizza restaurant,4.4 stars ,389 reviews,"5044 Wilshire Blvd, Los Angeles, CA 90036, United States",,"3M66+P9 Los Angeles, California, USA",,,https://www.nupizzala.com/,,+1 3239397661
SLICEY'S PIZZA,Pizza restaurant,4.6 stars ,165 reviews,"3627 W Pico Blvd, Los Angeles, CA 90019, United States",,"2MWH+XQ Los Angeles, California, USA",,,http://www.sliceys.com/,,+1 3237354900
Chico's Pizza Parlor,Pizza restaurant,4.4 stars ,"1,530 reviews","12120 Long Beach Blvd, Lynwood, CA 90262, United States",,"WQ8R+X9 Lynwood, California, USA",,,,,+1 3106398400
Tumby's Pizza,Pizza restaurant,4.4 stars ,684 reviews,"1041 W Manchester Blvd, Inglewood, CA 90301, United States",,"XJ6F+2X Inglewood, California, USA",,,http://www.tumbyspizza.com/,,+1 3106411203
Lenzini's Pizza,Pizza restaurant,4.4 stars ,305 reviews,"3500 Overland Ave #120, Los Angeles, CA 90034, United States",,"2HFQ+RH Los Angeles, California, USA",,,https://www.pizzadeliveryculvercityca.com/,,+1 3107426109
Bravo Pizza,Pizza restaurant,4.6 stars ,150 reviews,"5142 Hollywood Blvd #6106, Los Angeles, CA 90027, United States",,"4M2X+J5 Los Angeles, California, USA",,,https://www.bravopizzasubs.com/?utm_source=gbp,,+1 3236604575
Cash's Pizza & Pasta,Pizza restaurant,4.5 stars ,224 reviews,"6817 Balboa Blvd D, Van Nuys, CA 91406, United States",,"5FVX+V9 Van Nuys, Los Angeles, CA, USA",,,http://cashspizza.com/,,+1 8189898111
Tinder’s Pizza,Pizza restaurant,4.7 stars ,85 reviews,"7550 Tampa Ave Unit G, Reseda, CA 91335, United States",,"6C5W+5Q Reseda, Los Angeles, CA, USA",,,https://tinderspizza.com/,,+1 8187059000
Koreatown Pizza Co.,Pizza restaurant,4.3 stars ,662 reviews,"3900 Wilshire Blvd, Los Angeles, CA 90010, United States",Located in: Ramada by Wyndham Los Angeles/Koreatown West,"3M6Q+GF Los Angeles, California, USA",,,http://koreatownpizzaco.com/,,+1 2137380077
Sampa's Pizza Cafe - Marina Del Rey,Pizza restaurant,4.4 stars ,460 reviews,"534 Washington Blvd, Marina Del Rey, CA 90292, United States",,"XGMQ+5X Marina Del Rey, California, USA",,,http://sampaspizza.com/,,+1 3108274500
NoHo Pizza,Pizza restaurant,4.4 stars ,365 reviews,"11300 Magnolia Blvd, North Hollywood, CA 91601, United States",,"5J7C+VV North Hollywood, Los Angeles, CA, USA",,,https://nohopizzaandgrill.com/,,+1 8187661106
Piece O’ Pizza Inc (Torrance),Pizza restaurant,4.4 stars ,172 reviews,"2350 Sepulveda Blvd, Torrance, CA 90501, United States",Located in: Lee & Yoon,"RMCG+66 Torrance, California, USA",,,http://pieceopizzandeli.com/,,+1 4242634010
Joe's Pizza,Pizza restaurant,4.2 stars ,502 reviews,"8539 W Sunset Blvd, West Hollywood, CA 90069, United States",Floor 1 · Sunset Collection,"3JVC+GV West Hollywood, California, USA",,,http://joespizza.it/,,+1 3103580900
Prime Pizza,Pizza restaurant,4.3 stars ,478 reviews,"446 N Fairfax Ave, Los Angeles, CA 90036, United States",,"3JHQ+RF Los Angeles, California, USA",,,http://www.primepizza.la/,,+1 3238521188
Winner's NY Pizza,Pizza restaurant,4.4 stars ,206 reviews,"30684 Thousand Oaks Blvd, Agoura Hills, CA 91301, United States",,"5636+QG Agoura Hills, California, USA",,,http://winnersny.com/,,+1 8189915800
Toppers Pizza,Pizza restaurant,4.6 stars ,"1,162 reviews","1416 N Moorpark Rd, Thousand Oaks, CA 91360, United States",Floor 1 · Conejo Valley Plaza,"54XJ+2V Thousand Oaks, California, USA",,,http://www.topperspizzaplace.com/,,+1 8054954444
TMA Star Pizza & Subs,Pizza restaurant,4.7 stars ,61 reviews,"6365 Woodman Ave, Van Nuys, CA 91401, United States",,"5HP9+H7 Van Nuys, Los Angeles, CA, USA",,,https://www.tmastarpizzamenu.com/?utm_source=gbp,,+1 8189090703
Thanks Pizza,Pizza restaurant,4.4 stars ,165 reviews,"450 S Western Ave #305 FC-1, Los Angeles, CA 90020, United States",Floor 3 · California Market,"3M8R+7J Los Angeles, California, USA",,,http://thankspizzaus.com/,,+1 5102924119
Oro's Bakery & Pizza,Pizza restaurant,4.6 stars ,63 reviews,"7221 Balboa Blvd, Van Nuys, CA 91406, United States",Located in: Balboa Sherman plaza,"6F2X+Q9 Van Nuys, Los Angeles, CA, USA",,,https://www.orospizzabakerymenu.com/,,+1 8189099006
Pitfire Pizza,Pizza restaurant,4.3 stars ,517 reviews,"2018 Westwood Blvd, Los Angeles, CA 90025, United States",,"2HW8+JG Los Angeles, California, USA",,,http://www.pitfirepizza.com/,,+1 3104819860
Prime Pizza,Pizza restaurant,4.2 stars ,186 reviews,"1811 Pico Blvd, Santa Monica, CA 90405, United States",,"2G9H+FF Santa Monica, California, USA",,,http://www.primepizza.la/,,+1 3103142777
Pizza Go,Pizza restaurant,4.4 stars ,337 reviews,"4200 W 3rd St, Los Angeles, CA 90020, United States",,"3M9V+GQ Los Angeles, California, USA",,,http://www.lapizzago.com/,,+1 2133815131
